,"Q59_When schools reopen, would you still listen to radio lessons?",Q60_Why or why not?
0,,
1,,
2,,
3,,
4,Yes,Because it always good for daily news
5,Yes,Because I will learn both  on radio and in  school
6,,
7,,
8,,
9,,
10,Yes,Both radio and school are all good.
11,,
12,,
13,,
14,,
15,,
16,,
17,,
18,,
19,,
20,,
21,,
22,,
23,,
24,,
25,,
26,Yes,So long as the program is still  in the air 
27,Yes,To increase  the knowledge 
28,,
29,,
30,,
31,,
32,,
33,,
34,,
35,,
36,,
37,,
38,,
39,,
40,,
41,,
42,,
43,,
44,,
45,,
46,,
47,,
48,,
49,,
50,,
51,,
52,,
53,,
54,,
55,,
56,,
57,,
58,,
59,,
60,,
61,,
62,,
63,,
64,,
65,,
66,,
67,,
68,,
69,,
70,,
71,,
72,,
73,,
74,,
75,,
76,,
77,,
78,,
79,,
80,,
81,,
82,,
83,,
84,,
85,,
86,,
87,,
88,,
89,,
90,,
91,,
92,,
93,,
94,,
95,,
96,,
97,,
98,,
99,,
100,,
101,,
102,,
103,,
104,,
105,,
106,,
107,,
108,,
109,,
110,,
111,,
112,,
113,,
114,,
115,,
116,,
117,,
118,,
119,,
120,,
121,,
122,,
123,,
124,,
125,,
126,,
127,,
128,,
129,,
130,,
131,,
132,,
133,,
134,,
135,,
136,,
137,,
138,,
139,,
140,,
141,,
142,,
143,,
144,,
145,,
146,,
147,,
148,,
149,,
150,,
151,,
152,,
153,,
154,,
155,,
156,,
157,,
158,,
159,,
160,,
161,,
162,,
163,,
164,,
165,,
166,,
167,,
168,,
169,,
170,,
171,,
172,,
173,,
174,,
175,,
176,,
177,,
178,,
179,,
180,,
181,,
182,No,I will be moving to school every day
183,,
184,,
185,,
186,,
187,,
188,,
189,,
190,,
191,,
192,No,Because I will be busy in the school
193,,
194,,
195,,
196,,
197,,
198,,
199,,
200,,
201,,
202,,
203,,
204,,
205,,
206,,
207,,
208,,
209,,
210,,
211,,
212,,
213,,
214,,
215,,
216,No,There's no reason for the listening the rodio on the air
217,,
218,,
219,,
220,Yes,Because it can help listen and reading
221,,
222,,
223,,
224,,
225,,
226,No,It's not good for the children
227,No,It's not good
228,No,No
229,No,Because is not doing enough
230,,
231,,
232,,
233,No,It gives nothing
234,,
235,,
236,No,I will to other programs
237,,
238,,
239,,
240,,
241,,
242,,
243,,
244,,
245,,
246,,
247,,
248,,
249,,
250,,
251,,
252,,
253,,
254,,
255,,
256,,
257,,
258,,
259,,
260,,
261,,
262,,
263,,
264,,
265,,
266,,
267,,
268,,
269,,
270,,
271,,
272,,
273,,
274,,
275,,
276,Yes,Because one gets refreshed and get more knowledge.
277,,
278,,
279,,
280,,
281,,
282,,
283,,
284,,
285,,
286,,
287,,
288,,
289,,
290,,
291,,
292,,
293,,
294,,
295,,
296,,
297,,
298,,
299,,
300,,
301,,
302,,
303,,
304,,
305,,
306,No,He wants to see the teacher who is teaching
307,,
308,,
309,,
310,,
311,,
312,,
313,,
314,,
315,,
316,,
317,,
318,,
319,,
320,,
321,No,Concentrate in the class with his teacher.
322,,
323,Yes,To gain different knowledge and compare with what his teachers are teaching at school level.
324,,
325,No,She will concentrate in classroom activities
326,Yes, Get updates about coronas in the other parts of the country.
327,Yes,It educates people with different knowledge and updates about the country.
328,,
329,,
330,,
331,,
332,Yes,To get news and updates about the country.
333,,
334,,
335,,
336,No,She will concentrate with her teachers in classroom activities to enable her learn .
337,,
338,,
339,,
340,,
341,,
342,,
343,,
344,No,Because pupils will attend classes from their teachers.
345,,
346,,
347,,
348,,
349,,
350,,
351,,
352,,
353,,
354,,
355,,
356,,
357,,
358,,
359,,
360,,
361,,
362,,
363,,
364,,
365,,
366,,
367,,
368,,
369,,
370,,
371,,
372,Yes,To improve more learning skills.
373,No,I will be busy in school
374,,
375,,
376,,
377,,
378,,
379,,
380,,
381,,
382,,
383,Yes,Because it will be as backup lessons
384,Yes,Because Radio lessons also give extra information.
385,Yes,Listen to other news and updates about the world.
386,No,No need
387,,
388,,
389,No,We will be learning from school
390,No,No need
391,,
392,,
393,No,Because I will be in school teaching
394,,
395,,
396,,
397,,
398,,
399,,
400,,
401,,
402,,
403,,
404,,
405,Yes,To learnore
406,No,I listen to the teacher
407,Yes,I benefit from it
408,,
409,,
410,,
411,,
412,,
413,,
414,,
415,,
416,,
417,,
418,,
419,,
420,,
421,,
422,,
423,Yes,To continue getting more information
424,,
425,,
426,,
427,,
428,,
429,,
430,,
431,,
432,,
433,,
434,,
435,,
436,,
437,,
438,,
439,,
440,,
441,,
442,,
443,,
444,,
445,,
446,No,Because schools are reopen.
447,,
448,,
449,No,Same teaching will be conducted at school
450,Yes,We want to learn more
451,No,The lack of radio
452,Yes,If time could allow
453,,
454,,
455,,
456,,
457,,
458,Yes,Because it's also good for learning
459,,
460,,
461,,
462,,
463,,
464,No,I will be engage with other business 
465,Yes,Both are good for learning
466,Yes,To increase more knowledge
467,,
468,,
469,,
470,,
471,,
472,,
473,,
474,,
475,Yes,Because of reopening I shall be continue listening to radio lessons.
476,Yes,Gives additional knowledge
477,,
478,,
479,,
480,No,Because I will be in touch with my learners and will not have the time to  listen to it.
481,,
482,No,Because the way they pronoun differs from that of native
483,No,Children will be at school
484,Yes,I want More knowledge
485,Yes,Because it will still give knowledge to share with the learners.
486,,
487,,
488,,
489,,
490,Yes,If the radio lesson continue I will also continue listen to it.
491,Yes,If the radio lesson continue I will also continue listen to it.
492,,
493,,
494,Yes,I just want to learn how to listen to new topics and new concepts. 
495,Yes,Because of the new information which is not found at the school.
496,,
497,,
498,Yes,Because to extra learning
499,,
500,,
501,,
502,,
503,,
504,,
505,No,I will be busy lessons in the school
506,,
507,,
508,,
509,,
510,,
511,,
512,,
513,,
514,,
515,,
516,,
517,,
518,,
519,,
520,,
521,,
522,,
523,,
524,,
525,,
526,,
527,,
528,,
529,,
530,,
531,,
532,,
533,No,Because learn at is most better than redio
534,Yes,Because I enjoy it
535,Yes,Be cause it's helping children to remember topics
536,Yes,To increase my performance
537,,
538,Yes,To improve my performance
539,Yes,To improve my performance
540,Yes,To enrich my knowledge
541,Yes,Keep us aware of new things
542,Yes,To get more knowledge
543,,
544,,
545,,
546,Yes,To gain more knowledge
547,,
548,,
549,No,Because I have other thing u o do after school
550,,
551,Yes,To add more knowledge
552,,
553,,
554,Yes,To get more knowledge
555,Yes,I need more knowledge
556,,
557,,
558,,
559,,
560,,
561,,
562,Yes,Because it is good for school lessons.
563,,
564,No,Not interested
565,Yes,I like it
566,Yes,It is so interested
567,Yes,It increases the knowledge of learners
568,No,It is not interested
569,No,No good to me
570,,
571,No,Learners will be learning from school
572,,
573,No,We shall all be in school
574,No,Because all the learners Will be in school
575,Yes,I like classroom learning
576,No,All will go to school
577,,
578,Yes,It will increase my understanding
579,Yes,Because it is good for information and education.
580,Yes,Because of its lessons.
581,Yes,Because it is good to hear from other countries.
582,Yes,Because it is good for me.
583,No,Because I shall be concentrating on school lessons only.
584,Yes,The only thing is that because they are lacking radio lessons all.
585,Yes,"Because of this , it can't be stopped this is the progress of school learners with education."
586,,
587,,
588,,
589,,
590,No,The school system is based on text books.
591,,
592,,
593,No,Gjfhgsds
594,Yes,Because of more lessons.
595,No,Because I shall be back to school lessons.
596,Yes,Because of new information that I can get from the radio.
597,,
598,,
599,Yes,I will not have time
600,,
601,Yes,"Because I also want to learn, since I did complete my primary education"
602,,
603,,
604,,
605,,
606,,
607,No,No radio
608,,
609,Yes,To built my understanding
610,No,No radio
611,,
612,,
613,,
614,,
615,,
616,No,No time
617,,
618,No,It's hard
619,,
620,,
621,,
622,,
623,,
624,No,Problem keeping up with the program
625,Yes,To keep on increasing my knowledge
626,,
627,,
628,No,I will take most of my time in school
629,Yes,Because it will improve the listening and speaking skills
630,Yes,Because it will give additional knowledge to learners
631,Yes,All of them help achild to learn
632,Yes,R add io lesson are very interested
633,,
634,No,Because I don't understand lesson on air
635,Yes,Because it will be as arevision for the pupils or student
636,No,Because it is less importance
637,,
638,No,Because school is the most importance one
639,,
640,,
641,Yes,For more information
642,Yes,For more information
643,Yes,Before the closing of schools am listening to radio
644,Yes,Following radio before the closing of schools
645,,
646,,
647,Yes,Because it will refresh the lessons learned in school. 
648,,
649,,
650,,
651,,
652,,
653,,
654,,
655,No,Because I don't know anything about it 
656,,
657,,
658,,
659,No,Because I don't know anything about it. 
660,No,When is free from actual lessons in the class
661,Yes,Updates of other news 
662,Yes,During weekends 
663,Yes,Its impacts knowledge to teachers
664,,
665,No,Because  I will have no time to listen to the radio 
666,Yes,To aqure more knowngle
667,No,Waste of battery
668,,
669,No,I will have no time because of school
670,Yes,Because allow children gained knowledge
671,,
672,,
673,Yes,To get some information
674,,
675,No,I will go to school
676,Yes,Gain some information
677,Yes,It add knowledge
678,,
679,,
680,,
681,,
682,,
683,,
684,,
685,,
686,,
687,,
688,,
689,,
690,,
691,,
692,,
693,,
694,,
695,,
696,,
697,,
698,,
699,,
700,Yes,If I could access  them. 
701,,
702,,
703,,
704,No,Teachers are available in the schools
705,No,Teachers are already in the schools
706,No,Because the teachers are in the schools
707,Yes,It will reminds me of the teachers in school
708,Yes,To remind the learners on the lessons taught
709,Yes,Both lessons on radio and schools will help the learners
710,Yes,I need both lessons to learn more
711,Yes,To keep reminding the learners and help those who may not go to school that day
712,Yes,"Yeah,may be I will be sick,it help at home"
713,No,Teachers are already on the ground
714,Yes,Learners should compare the work done on the radio and the school
715,No,Teachers are already in schools
716,No,Teachers are in the schools
717,No,Because teachers are on the ground in the schools
718,No,Because the teachers are already in the schools
719,Yes,It will help the learners who may not go school that day
720,Yes,It is very important to me and helpful
721,No,Teachers are already in the schools
722,No,The teachers are already in the schools to teach
723,No,The teachers are already in the schools
724,Yes,To help the learners during holidays
725,No,I think there is no need because teachers are in the schools
726,Yes,It is good
727,Yes,It is good program
728,Yes,Because it is good program
729,Yes,It is good program
730,No,Because the teachers are in the schools
731,No,The teachers are in the school
732,No,The teachers are in the school to teach
733,No,The teachers are in the school to help us
734,No,Teachers are in the school
735,No,Because the teachers are in the class
736,Yes,Keep children busy
737,No,My teachers are in the school to teach me
738,No,The teachers are in the schools
739,No,My teachers are in the school to teach
740,Yes,It keeps updating us and the learners
741,No,My teachers are in the school
742,Yes,It keeps updating me and my children
743,Yes,It is good program
744,Yes,It keeps helping me in other areas which I don't understand in school
745,Yes,Because it helps
746,No,The teachers are in the school to help the learners
747,Yes,Because it is helpful
748,Yes,It is helpful to me
749,No,Because teachers are in the school to teach
750,No,The teachers are in the school to teach
751,No,The teachers are in the school to teach
752,Yes,Because it is helpful to me and other learners
753,Yes,It is helpful to the learners to study
754,Yes,Sometimes it helps people not to move
755,Yes,Because is good
756,Yes,Radio lesson is very interesting as teacher to listen
757,Yes,Because I want to learn English
758,,
759,No,More physical classes is better than radio
760,No,All students will be classes no need
761,Yes,"Yes that is because it is additional lesson.
"
762,,
763,,
764,,
765,,
766,,
767,,
768,,
769,,
770,,
771,,
772,,
773,,
774,,
775,Yes,Togather is better
776,,
777,,
778,,
779,,
780,,
781,,
782,,
783,No,I will be very busy going to school.
784,Yes,I will be listening to the song and news.
785,,
786,,
787,,
788,,
789,Yes,I get more knowledge through radio lessons.
790,Yes,I will be listening to good song.
791,,
792,,
793,,
794,,
795,,
796,,
797,,
798,Yes,To gain some accurate information in education
799,,
800,,
801,No,Because of lessons in school and other work at home
802,,
803,,
804,,
805,,
806,,
807,,
808,Yes,We love song.
809,,
810,Yes,To get more ideas about the lessons
811,No,I will have short time for the program
812,No,I will have no time
813,No,I will have no time to tune to the radio
814,,
815,,
816,,
817,,
818,No,I will be full time in school
819,No,Because the radio lessons are done during  class hours
820,,
821,,
822,No,I don't know the benefits 
823,Yes,If time allows
824,No,Because I will have no time for that. 
825,,
826,,
827,No,It will interrupt the lessons
828,Yes,Because to increase the knowledge and improve listening and speaking skills
829,Yes,Because to get  more knowledge
830,No,No radio
831,,
832,,
833,,
834,,
835,,
836,,
837,,
838,,
839,,
840,,
841,,
842,Yes,Helps me to revise 
843,,
844,,
845,,
846,,
847,,
848,,
849,No,I will go and attend all lessen in the class.
850,,
851,,
852,,
853,,
854,Yes,Because I want to have more knowlegde
855,,
856,,
857,,
858,Yes,To get more information
859,No,Because I will busy in the school
860,,
861,,
862,Yes,To learn more
863,,
864,,
865,No,We will be busy at school
866,Yes,Because I like it 
867,No,Because I will not continued in the radio give one lesson a say.
868,,
869,,
870,,
871,No,I will have no time to tune to radio
872,No,Because of the poor presentation
873,No,Because I will be regular at school
874,,
875,No,I will be fully in school
876,,
877,No,I will have no time
878,Yes,To build my understanding
879,Yes,The lesson taught are the same and create confidence in both the learners and teacher.
880,,
881,Yes,Because it  build on what had been taught at school
882,,
883,No,I will be fully engaged in school
884,,
885,,
886,No,No radio
887,,
888,,
889,,
890,Yes,This will remind achild on the lessons he learned
891,Yes,It will help pupils in their learning
892,No,Pupils does not have time for two schools
893,No,No time
894,No,There will be no time to listen to radio
895,Yes,So that I add knowledge to that from school
896,Yes,Because they teach very well
897,Yes,So that I can get more information
898,Yes,To teach children good things
899,,
900,,
901,,
902,,
903,,
904,,
905,,
906,,
907,,
908,Yes,To listen on other programmes and extra lessons be listen to also
909,,
910,,
911,,
912,,
913,,
914,,
915,,
916,,
917,,
918,,
919,,
920,,
921,,
922,,
923,,
924,,
925,,
926,,
927,,
928,,
929,,
930,,
931,,
932,,
933,,
934,,
935,,
936,,
937,,
938,,
939,,
940,No,Teacher should be in the class
941,No,I will consentrate on the teacher only
942,,
943,No,More concetration.
944,No,Because time will be less.
945,,
946,,
947,No,More revision.
948,Yes,To get more topics.
949,Yes,Give extra knowledge
950,,
951,,
952,Yes,Because it makes me feel better
953,Yes,Because it covered up some topic
954,Yes,To improve my skills in listening
955,No,Because the time is not helping me 
956,Yes,It's improving skills of listening
957,,
958,,
959,Yes,For more knowledge
960,No,No timd
961,No,No time
962,,
963,,
964,,
965,,
966,,
967,,
968,,
969,,
970,,
971,,
972,,
973,,
974,,
975,,
976,,
977,,
978,,
979,,
980,,
981,,
982,,
983,,
984,,
985,,
986,,
987,,
988,,
989,,
990,,
991,,
992,Yes,Because you can also correct some information to learners and its also improved the level of communication through radio to pupils and un trained teachers on how to give a lesson
993,,
994,No,Because I will be doing different things than to listening to the radio
995,,
996,,
997,,
998,Yes,Additional knowledge will be attained 
999,Yes,Will be able teach her children through lessons learnt over the radio after classes
1000,,
1001,No,They will learn in the school
1002,,
1003,,
1004,,
1005,,
1006,,
1007,,
1008,,
1009,,
1010,,
1011,,
1012,,
1013,,
1014,,
1015,,
1016,,
1017,,
1018,,
1019,,
1020,,
1021,,
1022,,
1023,,
1024,,
1025,,
1026,,
1027,,
1028,,
1029,Yes,I like it so much
1030,Yes,It gives me some information
1031,Yes,I like it
1032,Yes,I like some words 
1033,Yes,I like it
1034,,
1035,,
1036,,
1037,No,I will be busy in the school
1038,,
1039,,
1040,No,Engage with class 
1041,No,Classes 
1042,,
1043,,
1044,,
1045,,
1046,,
1047,No,because I will be busy in the classroom 
1048,No,Because it will be difficult since we will be in school there will be no time to listen to the radio. 
1049,,
1050,No,Because I be occupied in school 
1051,Yes,If have a radio I will. Because it refresh the lessons I had from school and I will learn new things from it.
1052,,
1053,,
1054,,
1055,,
1056,Yes,Because they are helpful. 
1057,,
1058,Yes,Because I think it will continue to keep me updated 
1059,,
1060,Yes,Because get updated 
1061,No,Because no time to listen to the radio lessons again because they are at school 
1062,,
1063,,
1064,,
1065,,
1066,,
1067,,
1068,No,Because learning in class is more effective.
1069,,
1070,,
1071,,
1072,,
1073,,
1074,No,Because you Don't interact with some Learners
1075,,
1076,,
1077,,
1078,,
1079,,
1080,No,Have little time to listen to radio
1081,,
1082,Yes,To be able to help the young ones
1083,Yes,If they still will be aired at a convenient time.
1084,Yes,For revision
1085,Yes,To get more in case my teacher is behind with the topic
1086,Yes,To add on to what is taught at school.
1087,Yes,To be able to help my niece where she does not understand.
1088,Yes,To learn more
1089,Yes,In case I did not understand my teacher well
1090,Yes,To revise
1091,Yes,To revise and compare with what is taught in class.
1092,Yes,To learn more
1093,Yes,To learn more
1094,Yes,To learn more
1095,No,I will concentrate what the teacher gives me in the class
1096,,
1097,Yes,There are good topics they could provide
1098,,
1099,No,Because all the radio lessons will be provided by the school
1100,,
1101,Yes,Because the lessons can supplement the school lessons and the learning will be wider
1102,No,Radio is not that good in teaching someone to pass
1103,Yes,To support the daily class work
1104,,
1105,,
1106,,
1107,,
1108,,
1109,,
1110,,
1111,,
1112,,
1113,,
1114,,
1115,,
1116,,
1117,,
1118,,
1119,,
1120,,
1121,Yes,This give me chance to learn new ideas.
1122,,
1123,,
1124,,
1125,,
1126,,
1127,,
1128,,
1129,,
1130,,
1131,,
1132,,
1133,,
1134,Yes,Acquisition of more knowledge
1135,Yes,More knowledge and skills
1136,,
1137,,
1138,,
1139,,
1140,,
1141,,
1142,,
1143,,
1144,,
1145,,
1146,,
1147,,
1148,,
1149,,
1150,,
1151,,
1152,,
1153,,
1154,,
1155,,
1156,Yes,Because I want to go to school
1157,No,Because when there is hand washing facility
1158,,
1159,,
1160,,
1161,,
1162,,
1163,,
1164,,
1165,,
1166,,
1167,,
1168,,
1169,,
1170,,
1171,,
1172,,
1173,,
1174,,
1175,,
1176,,
1177,,
1178,,
1179,,
1180,,
1181,,
1182,,
1183,,
1184,,
1185,,
1186,,
1187,,
1188,,
1189,,
1190,,
1191,,
1192,,
1193,,
1194,,
1195,,
1196,,
1197,,
1198,,
1199,,
1200,,
1201,,
1202,No,Because I will be busy in the school
1203,,
1204,,
1205,,
1206,,
1207,,
1208,,
1209,No, because Arts subjects are included in lessons
1210,,
1211,No,Because it might confused me
1212,No,I will be attending my lessons in the school
1213,,
1214,,
1215,,
1216,No,I will be busy in school
1217,Yes,Y
1218,,
1219,,
1220,,
1221,,
1222,Yes,Because I will not be going to school
1223,,
1224,,
1225,,
1226,No,There is no need anymore. 
1227,,
1228,,
1229,,
1230,,
1231,Yes,For it supports me
1232,,
1233,,
1234,,
1235,,
1236,,
1237,,
1238,Yes,I want to hear more information 
1239,No,Engaging with classes and teaching students 
1240,Yes,Knowledge 
1241,,
1242,,
1243,Yes,Because I want to learn both radio and at class
1244,,
1245,,
1246,,
1247,,
1248,,
1249,,
1250,,
1251,,
1252,,
1253,,
1254,No,If school open I think there will be no more lesson broadcasting since all people will be busy in the classroom
1255,Yes,I like radio before lesson
1256,,
1257,,
1258,,
1259,No,No time for students listen to radio lessons
1260,No,No time for students to listened
1261,,
1262,,
1263,No,No time
1264,,
1265,,
1266,Yes,Because children may compare the lessons and get the best one.
1267,,
1268,Yes,Because it is also very for children to revise what they have learn
1269,No,There will direct learning from the teacher
1270,Yes, To increase your information and knowledge
1271,,
1272,Yes,If they are there for progress
1273,,
1274,,
1275,,
1276,,
1277,,
1278,,
1279,,
1280,,
1281,,
1282,,
1283,,
1284,No,Can not understand 
1285,,
1286,No,Will get me at school 
1287,,
1288,,
1289,,
1290,,
1291,,
1292,,
1293,,
1294,,
1295,,
1296,,
1297,,
1298,,
1299,,
1300,,
1301,,
1302,,
1303,,
1304,No,It is not realible
1305,,
1306,,
1307,,
1308,,
1309,,
1310,,
1311,,
1312,,
1313,,
1314,,
1315,,
1316,,
1317,,
1318,,
1319,,
1320,,
1321,,
1322,,
1323,,
1324,,
1325,No,I will be in school  teaching  they children. 
1326,,
1327,,
1328,,
1329,,
1330,,
1331,,
1332,,
1333,,
1334,No, I better   to attend the school 
1335,,
1336,,
1337,,
1338,,
1339,,
1340,,
1341,,
1342,Yes,Radio lesson is good
1343,,
1344,,
1345,,
1346,,
1347,,
1348,,
1349,,
1350,,
1351,,
1352,,
1353,,
1354,No,I will concentrate with teaching in school
1355,,
1356,,
1357,,
1358,,
1359,,
1360,,
1361,,
1362,,
1363,,
1364,,
1365,,
1366,,
1367,,
1368,,
1369,,
1370,,
1371,,
1372,,
1373,,
1374,,
1375,,
1376,,
1377,,
1378,,
1379,,
1380,No,Because I will be busy with normal teaching
1381,No,Because all the students will be busy in the school
1382,,
1383,Yes,Because it is a part of educational culture
1384,,
1385,,
1386,,
1387,,
1388,,
1389,,
1390,,
1391,,
1392,,
1393,No,Because no need learner's are learning straight away
1394,Yes,Because I am not a student
1395,,
1396,No,I will be busy in the school
1397,,
1398,,
1399,,
1400,,
1401,,
1402,,
1403,,
1404,No,I will be fully engaged in school
1405,,
1406,,
1407,No,I will be engaged fully in school
1408,No,To build my understanding
1409,,
1410,,
1411,,
1412,,
1413,,
1414,,
1415,,
1416,,
1417,No,No radio
1418,Yes,To gain more experience
1419,Yes,I like the lesson
1420,,
1421,Yes,I will be continue listen to radio to get news and song.
1422,,
1423,,
1424,,
1425,,
1426,,
1427,,
1428,,
1429,Yes,I will still get news from radio.
1430,,
1431,,
1432,No,Because I will have no time
1433,,
1434,No,Difficult to understand
1435,No,No time
1436,Yes,To get more knowledge 
1437,Yes,To add more knowledge 
1438,No,Classes
1439,Yes,To get knowledge 
1440,,
1441,,
1442,,
1443,,
1444,,
1445,Yes,Because they give the same knowledge 
1446,,
1447,No,No radio 
1448,No,No time 
1449,,
1450,,
1451,,
1452,,
1453,,
1454,,
1455,No,School lesson is better.
1456,Yes,If the program is still existing
1457,,
1458,Yes,Because it keep learners bush at anytime
1459,Yes,Because it's keeps on remained learners
1460,Yes,Because it keeps on remained learners
1461,Yes,Because it keeps on remained learners
1462,Yes,Because it keeps on remained learners with remained
1463,Yes,Because it's easy to understand
1464,Yes,Because it's easy to understand
1465,Yes,Because it keeps on remaining learners
1466,Yes,Because it keeps on remaining learners
1467,Yes,Because it's keeps on remained learners
1468,Yes,Because it's keeps on remained learners
1469,,
1470,Yes,Because it's keeps on remained learners
1471,,
1472,,
1473,Yes,If is good for remembrance
1474,Yes,Because it's good for learners to remembers their lesson
1475,Yes,It help learners to remembered their lessons
1476,Yes,Because it help learners to remembered their lessons
1477,Yes,Because it keeps on remaining learners
1478,Yes,Because it keeps on remainding   learners
1479,Yes,Because it help learners to remembered their lessons
1480,Yes,Because it help learners to remembered their lessons
1481,,
1482,Yes,Because it help learners to remembered their lessons
1483,,
1484,,
1485,Yes,Government to reopen schools
1486,Yes,If it's still excite
1487,,
1488,,
1489,,
1490,,
1491,,
1492,,
1493,,
1494,,
1495,Yes,If it's still exist on radio
1496,,
1497,,
1498,Yes,Because I get more lessons 
1499,,
1500,,
1501,,
1502,,
1503,,
1504,,
1505,,
1506,,
1507,,
1508,Yes,Because it's keeps on remained learners
1509,Yes,Because it's keeps on remained learners
1510,,
1511,,
1512,,
1513,,
1514,Yes,Because it's keeps on remained learners
1515,Yes,Because it remained learners with more radio
1516,,
1517,,
1518,Yes,To improve my skills 
1519,,
1520,,
1521,,
1522,,
1523,,
1524,,
1525,,
1526,,
1527,,
1528,,
1529,,
1530,,
1531,,
1532,,
1533,,
1534,Yes,Because its some news for education
1535,No,Because it hard to listen
1536,No,Because school open
1537,No,Because school open
1538,No,Because school open
1539,No,Because school open
1540,No,Because school open
1541,No,Because school open
1542,No,"School open,children with have access to everything than radio"
1543,No,Because my children will go to school
1544,No,Children will go to school
1545,,
1546,,
1547,,
1548,,
1549,,
1550,,
1551,,
1552,,
1553,,
1554,,
1555,No,I'm will be concentrating in school and other work at home
1556,,
1557,,
1558,,
1559,,
1560,,
1561,,
1562,,
1563,,
1564,No,Because it is complicated
1565,,
1566,No,There is no improvement
1567,,
1568,,
1569,,
1570,,
1571,No,I will just to school
1572,,
1573,,
1574,Yes,You get more from other teachers on air
1575,,
1576,,
1577,Yes,To improve my learning 
1578,,
1579,,
1580,,
1581,,
1582,,
1583,,
1584,,
1585,,
1586,,
1587,,
1588,,
1589,No,I will be in the class
1590,,
1591,,
1592,,
1593,,
1594,,
1595,,
1596,,
1597,,
1598,,
1599,,
1600,,
1601,,
1602,,
1603,,
1604,,
1605,,
1606,,
1607,,
1608,,
1609,,
1610,,
1611,,
1612,,
1613,No,Because our school is functioning
1614,Yes,To increase my knowledge
1615,Yes,Because I want to add another information 
1616,,
1617,No,Because the lesson you hear radio is the same lesson the teacher teaches you
1618,,
1619,Yes,Because we need more information 
1620,No,Because school is open 
1621,Yes,Because to get more information 
1622,,
1623,No,Because school is open 
1624,Yes,Because I want to have more information 
1625,Yes,Because I want my kids to have information 
1626,,
1627,,
1628,,
1629,,
1630,,
1631,,
1632,,
1633,,
1634,,
1635,,
1636,,
1637,,
1638,,
1639,,
1640,,
1641,,
1642,,
1643,,
1644,,
1645,,
1646,,
1647,,
1648,,
1649,,
1650,,
1651,,
1652,,
1653,,
1654,No,Because the schools will resume back to lessons
1655,,
1656,,
1657,,
1658,,
1659,,
1660,,
1661,,
1662,,
1663,,
1664,No,No need for the learners to continue listening to the radio
1665,,
1666,,
1667,,
1668,,
1669,,
1670,No,No need
1671,,
1672,,
1673,,
1674,,
1675,,
1676,,
1677,,
1678,,
1679,,
1680,,
1681,,
1682,No,Because I will be busy in school
1683,,
1684,,
1685,,
1686,,
1687,,
1688,,
1689,,
1690,No,I will have no time for that. 
1691,,
1692,,
1693,No,Because I will be busy with school activities 
1694,No,Because the school is already open
1695,,
1696,,
1697,,
1698,,
1699,,
1700,,
1701,,
1702,,
1703,,
1704,,
1705,,
1706,,
1707,,
1708,,
1709,,
1710,,
1711,,
1712,,
1713,,
1714,,
1715,No,The teachers and students will be busy in the classes teaching
1716,Yes,It helps me to know what is going on in the world
1717,No,The teachers are on ground to teach the learners
1718,,
1719,,
1720,,
1721,,
1722,,
1723,No,Because my teachers are in the school
1724,,
1725,,
1726,,
1727,,
1728,,
1729,,
1730,,
1731,,
1732,,
1733,,
1734,,
1735,,
1736,,
1737,,
1738,,
1739,,
1740,,
1741,,
1742,,
1743,,
1744,,
1745,,
1746,,
1747,,
1748,,
1749,,
1750,,
1751,,
1752,,
1753,,
1754,,
1755,,
1756,,
1757,,
1758,,
1759,,
1760,,
1761,,
1762,,
1763,,
1764,,
1765,,
1766,,
1767,,
1768,,
1769,,
1770,,
1771,,
1772,,
1773,,
1774,,
1775,,
1776,,
1777,,
1778,,
1779,,
1780,,
1781,,
1782,,
1783,,
1784,No,Engage with class
1785,,
1786,,
1787,No,Will be in class
1788,,
1789,,
1790,No,Will.be in class
1791,,
1792,,
1793,,
1794,,
1795,,
1796,,
1797,No,I will be in class
1798,,
